Name                                                                                    Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------------------
ai_parser\__init__.py                                                                       0      0   100%
ai_parser\admin.py                                                                          1      0   100%
ai_parser\apps.py                                                                           4      0   100%
ai_parser\client.py                                                                         5      0   100%
ai_parser\llm\__init__.py                                                                   5      0   100%
ai_parser\llm\base.py                                                                      16      3    81%
ai_parser\llm\normalization.py                                                            259     65    75%
ai_parser\llm\providers.py                                                                233     87    63%
ai_parser\llm\retry.py                                                                     65     11    83%
ai_parser\migrations\__init__.py                                                            0      0   100%
ai_parser\models.py                                                                         1      0   100%
ai_parser\prompts.py                                                                        3      0   100%
ai_parser\schemas.py                                                                       23      0   100%
ai_parser\services.py                                                                     343    106    69%
ai_parser\tests.py                                                                          1      0   100%
ai_parser\validators.py                                                                    38      4    89%
bot\__init__.py                                                                             0      0   100%
bot\admin.py                                                                                1      0   100%
bot\apps.py                                                                                 4      0   100%
bot\handlers.py                                                                           161     48    70%
bot\keyboards.py                                                                            3      0   100%
bot\management\__init__.py                                                                  0      0   100%
bot\management\commands\__init__.py                                                         0      0   100%
bot\migrations\__init__.py                                                                  0      0   100%
bot\models.py                                                                               1      0   100%
bot\notifications.py                                                                       24      1    96%
bot\tests.py                                                                                1      0   100%
config\__init__.py                                                                          0      0   100%
config\env_utils.py                                                                        23      5    78%
config\logging_utils.py                                                                    37      2    95%
config\settings.py                                                                         46      5    89%
config\urls.py                                                                              9      2    78%
dashboard\__init__.py                                                                       0      0   100%
dashboard\admin.py                                                                          1      0   100%
dashboard\apps.py                                                                           4      0   100%
dashboard\forms.py                                                                         13      1    92%
dashboard\migrations\__init__.py                                                            0      0   100%
dashboard\models.py                                                                         1      0   100%
dashboard\rate_limit.py                                                                    33      5    85%
dashboard\tests.py                                                                          1      0   100%
dashboard\urls.py                                                                           3      0   100%
dashboard\views.py                                                                        160     26    84%
integrations\__init__.py                                                                    0      0   100%
integrations\apiship.py                                                                   517    184    64%
integrations\bpium.py                                                                     107     63    41%
integrations\delivery.py                                                                   34      4    88%
integrations\payment.py                                                                    44     22    50%
integrations\sync.py                                                                       31      1    97%
manage.py                                                                                  11      2    82%
orders\__init__.py                                                                          0      0   100%
orders\admin.py                                                                            37      2    95%
orders\api_views.py                                                                        32      0   100%
orders\apps.py                                                                              4      0   100%
orders\management\__init__.py                                                               0      0   100%
orders\management\commands\__init__.py                                                      0      0   100%
orders\management\commands\check_email.py                                                  93     21    77%
orders\migrations\0001_initial.py                                                           6      0   100%
orders\migrations\0002_order_shipping_external_id_order_shipping_provider_and_more.py       4      0   100%
orders\migrations\__init__.py                                                               0      0   100%
orders\models.py                                                                          101      6    94%
orders\orchestrator.py                                                                     11      4    64%
orders\serializers.py                                                                      16      0   100%
orders\services.py                                                                         79     26    67%
orders\state_machine.py                                                                     8      1    88%
orders\tests.py                                                                             1      0   100%
orders\urls.py                                                                              3      0   100%
tests\__init__.py                                                                           0      0   100%
tests\test_ai_parser.py                                                                   366      0   100%
tests\test_api_auth.py                                                                     45      0   100%
tests\test_bot_handlers.py                                                                129      0   100%
tests\test_check_email_command.py                                                          68      2    97%
tests\test_dashboard.py                                                                   110      0   100%
tests\test_intake_channels.py                                                              45      0   100%
tests\test_integrations.py                                                                132      0   100%
tests\test_llm_provider_selection.py                                                       41      0   100%
tests\test_notifications.py                                                                38      0   100%
-----------------------------------------------------------------------------------------------------------
TOTAL                                                                                    3636    709    81%
